page,language,profile,performance,accessibility,best_practices,seo,runs,performance_min,performance_max,result,note,source_sha256
/it/news,it,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news,it,tablet,97,100,100,100,3,96,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/agustinyalba-stelle-nascenti-bachata-sensual,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/agustinyalba-stelle-nascenti-bachata-sensual,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/agustinyalba-stelle-nascenti-bachata-sensual,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/aitor-gomez-bachata-sensuale-radici-dominicane,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/aitor-gomez-bachata-sensuale-radici-dominicane,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/aitor-gomez-bachata-sensuale-radici-dominicane,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/aumento-prezzi-full-pass-masterclass-15-giugno-2026,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/news/aumento-prezzi-full-pass-masterclass-15-giugno-2026,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
